State,Value
--OX-OX-X,0.0
--OX-OXOX,0.0
--OX-OXXO,-4.0
--OX-X---,0.0
--OX-X--O,0.0
--OX-X-O-,1.0
--OX-XO--,0.0
--OX-XO-X,0.0
--OX-XOX-,0.0
--OX-XX-O,0.0
--OXO-OXX,-1.0
--OXO-X--,0.0
--OXO-X-X,0.0
--OXO-XOX,0.0
--OXOOX-X,0.0
--OXOOXX-,0.0
--OXOOXXX,1.0
--OXOX---,0.0
--OXOXOXX,-3.0
--OXOXX--,0.0
--OXOXX-O,0.0
--OXOXXXO,0.0
--OXX----,0.0
--OXX--O-,1.0
--OXX-O--,0.0
--OXX-O-X,0.0
--OXX-OX-,0.0
--OXX-XO-,0.0
--OXXO--X,0.0
--OXXOO-X,0.0
--OXXOOX-,1.0
--OXXOOXX,1.0
--OXXOX--,-2.0
--OXXOX-O,-2.0
--OXXOXO-,0.0
--OXXOXOX,0.0
--OXXOXXO,-3.0
--OXXX-O-,1.0
--OXXXOO-,2.0
--X------,0.0
--X-----O,0.0
--X----O-,0.0
--X----OX,0.0
--X----XO,0.0
--X---O--,0.0
--X---O-X,0.0
--X---OOX,0.0
--X---OX-,0.0
--X---OXO,0.0
--X---X-O,0.0
--X---XO-,0.0
--X---XOO,1.0
--X--O---,0.0
--X--O--X,0.0
--X--O-OX,0.0
--X--O-X-,0.0
--X--O-XO,0.0
--X--OO-X,0.0
--X--OOXX,0.0
--X--OX--,0.0
--X--OX-O,0.0
--X--X--O,0.0
--X--X-O-,0.0
--X--X-OO,0.0
--X--XO--,0.0
--X--XO-O,0.0
--X--XOXO,0.0
--X--XXOO,0.0
--X-O----,0.0
--X-O---X,0.0
--X-O--OX,0.0
--X-O--X-,0.0
--X-O--XO,0.0
--X-O-O-X,0.0
--X-O-OX-,0.0
--X-O-X--,0.0
--X-O-X-O,0.0
--X-O-XO-,0.0
--X-O-XXO,0.0
--X-OO-X-,0.0
--X-OO-XX,0.0
--X-OOOXX,0.0
--X-OX---,0.0
--X-OX--O,0.0
--X-OX-O-,0.0
--X-OX-OX,1.0
--X-OX-XO,0.0
--X-OXO--,0.0
--X-OXOX-,0.0
--X-OXOXO,0.0
--X-OXX-O,-1.0
--X-OXXO-,0.0
--X-X---O,0.0
--X-X--O-,0.0
--X-X--OO,0.0
--X-X-O--,0.0
--X-X-OO-,0.0
--X-X-OOX,0.0
--X-X-XOO,1.0
--X-XO---,0.0
--X-XO--O,0.0
--X-XO-O-,0.0
--X-XO-XO,0.0
--X-XOO--,0.0
--X-XOOOX,2.0
--X-XOOX-,0.0
--X-XOX-O,2.0
--X-XOXO-,1.0
--X-XOXOO,4.0
--XO-----,0.0
--XO----X,0.0
--XO---X-,0.0
--XO---XO,0.0
--XO--O-X,0.0
--XO--OX-,0.0
--XO--OXX,0.0
--XO--X--,0.0
--XO--X-O,0.0
--XO--XO-,1.0
--XO--XXO,0.0
--XO-O--X,0.0
--XO-O-X-,0.0
--XO-O-XX,0.0
--XO-OOXX,0.0
--XO-OX--,1.0
--XO-OX-X,0.0
--XO-X---,0.0
--XO-XO--,0.0
--XO-XO-X,1.0
--XO-XOOX,3.0
--XO-XOX-,-1.0
--XO-XXOO,0.0
--XOO---X,0.0
--XOO--X-,0.0
--XOO-X--,0.0
--XOO-X-X,-1.0
--XOO-XXO,0.0
--XOOOX-X,0.0
--XOOOXXX,2.0
--XOOX---,0.0
--XOOX--X,1.0
--XOOX-XO,0.0
--XOOXO-X,4.0
--XOX----,0.0
--XOX--O-,1.0
--XOX--XO,0.0
--XOX-O-X,0.0
--XOX-OOX,0.0
--XOX-XO-,1.0
--XOXO---,0.0
--XOXO--X,0.0
--XOXO-X-,0.0
--XOXO-XO,0.0
--XOXOO-X,1.0
--XOXOOXX,0.0
--XOXOX--,1.0
--XOXOX-O,4.0
--XOXOXO-,1.0
--XOXOXXO,3.0
--XOXXXOO,1.0
--XX----O,0.0
--XX---O-,0.0
--XX---OO,0.0
--XX--O--,0.0
--XX--OO-,0.0
--XX--OOX,0.0
--XX--XOO,0.0
--XX-O---,0.0
--XX-O--O,0.0
--XX-O-O-,0.0
--XX-O-OX,0.0
--XX-OOOX,0.0
--XX-OX-O,0.0
--XX-OXOO,0.0
--XX-X-OO,0.0
--XX-XOO-,0.0
--XXO----,0.0
--XXO---O,0.0
--XXO--O-,0.0
--XXO--OX,0.0
--XXO--XO,0.0
--XXO-O--,0.0
--XXO-OX-,0.0
--XXO-OXO,0.0
--XXO-XO-,0.0
--XXOO---,0.0
--XXOO-X-,0.0
--XXOO-XO,0.0
--XXOOOXX,0.0
--XXOOX--,0.0
--XXOOXO-,0.0
--XXOOXOX,-2.0
--XXOX--O,0.0
--XXOX-O-,0.0
--XXOX-OO,0.0
--XXOXO--,0.0
--XXOXXOO,-2.0
--XXXOO--,0.0
--XXXOO-O,0.0
--XXXOOXO,0.0
--XXXOXOO,3.0
-O------X,0.0
-O-----X-,0.0
-O-----XX,0.0
-O----OXX,0.0
-O----X--,0.0
-O----X-X,0.0
-O----XX-,0.0
-O----XXO,0.0
-O---O-XX,2.0
-O---OX-X,2.0
-O---OXX-,1.0
-O---OXXX,2.0
-O---X---,0.0
-O---X--X,0.0
-O---X-OX,0.0
-O---X-X-,0.0
-O---X-XO,0.0
-O---XX--,0.0
-O---XX-O,0.0
-O---XXO-,0.0
-O---XXXO,0.0
-O--O-XX-,0.0
-O--O-XXX,2.0
-O--OOXXX,2.0
-O--OX--X,0.0
-O--OX-X-,0.0
-O--OXX--,0.0
-O--OXX-X,0.0
-O--OXXX-,0.0
-O--X----,0.0
-O--X---X,0.0
-O--X--OX,0.0
-O--X--X-,0.0
-O--X--XO,0.0
-O--X-O-X,0.0
-O--X-OX-,0.0
-O--X-X--,0.0
-O--X-X-O,1.0
-O--X-XO-,0.0
-O--X-XXO,0.0
-O--XO--X,0.0
-O--XO-X-,0.0
-O--XOXOX,1.0
-O--XOXX-,0.0
-O--XOXXO,0.0
-O--XX---,0.0
-O--XX-O-,1.0
-O--XX-OX,0.0
-O--XXO--,0.0
-O--XXO-X,0.0
-O-O--X-X,1.0
-O-O--XX-,1.0
-O-O--XXX,2.0
-O-O-OXXX,1.0
-O-O-X--X,0.0
-O-O-X-X-,0.0
-O-O-XXXO,0.0
-O-OO-XXX,2.0
-O-OX---X,1.0
-O-OX--X-,0.0
-O-OX-XXO,3.0
-O-OXOXX-,3.0
-O-OXOXXX,1.0
-O-OXX---,0.0
-O-OXX--X,0.0
-O-OXX-OX,1.0
-O-OXX-X-,0.0
-O-OXX-XO,0.0
-O-OXXO-X,1.0
-O-OXXOXX,-1.0
-O-OXXXO-,0.0
-O-OXXXXO,0.0
-O-X-----,0.0
-O-X----X,0.0
-O-X---OX,0.0
-O-X---X-,0.0
-O-X---XO,0.0
-O-X--OX-,0.0
-O-X--X--,0.0
-O-X--X-O,1.0
-O-X--XO-,0.0
-O-X--XOX,-1.0
-O-X-O--X,0.0
-O-X-O-X-,0.0
-O-X-O-XX,0.0
-O-X-OOXX,0.0
-O-X-OX--,0.0
-O-X-OX-X,0.0
-O-X-OXOX,0.0
-O-X-OXX-,0.0
-O-X-OXXO,0.0
-O-X-X---,0.0
-O-X-X--O,0.0
-O-X-XO--,0.0
-O-X-XX-O,0.0
-O-X-XXO-,-2.0
-O-X-XXOO,0.0
-O-XO---X,0.0
-O-XO--X-,0.0
-O-XO--XX,0.0
-O-XO-X--,0.0
-O-XO-X-X,0.0
-O-XO-XOX,-1.0
-O-XO-XX-,0.0
-O-XOO-XX,0.0
-O-XOOX-X,3.0
-O-XOOXX-,3.0
-O-XOOXXX,3.0
-O-XOX---,0.0
-O-XOX--X,0.0
-O-XOX-X-,0.0
-O-XOX-XO,0.0
-O-XOXOX-,0.0
-O-XOXX--,0.0
-O-XOXX-O,0.0
-O-XOXXO-,-3.0
-O-XOXXOX,-3.0
-O-XOXXXO,-1.0
-O-XX----,0.0
-O-XX--O-,1.0
-O-XX-OX-,0.0
-O-XXO--X,0.0
-O-XXO-OX,0.0
-O-XXOO-X,0.0
-O-XXOX--,0.0
-O-XXOXO-,0.0
-O-XXOXOX,1.0
-O-XXX-O-,2.0
-O-XXX-OO,2.0
-O-XXXO--,1.0
-O-XXXOO-,1.0
-O-XXXOOX,1.0
-OO----XX,1.0
-OO---X-X,1.0
-OO---XXX,1.0
-OO--OXXX,4.0
-OO--X--X,0.0
-OO--X-X-,0.0
-OO--X-XX,0.0
-OO--XOXX,0.0
-OO--XX-X,0.0
-OO--XXOX,0.0
-OO--XXX-,0.0
-OO--XXXO,0.0
-OO-O-XXX,2.0
-OO-X--X-,0.0
-OO-X-OXX,1.0
-OO-X-X--,0.0
-OO-X-XX-,-1.0
-OO-XX---,0.0
-OO-XXOXX,0.0
-OO-XXX--,-1.0
-OO-XXXOX,0.0
-OO-XXXXO,0.0
-OOO--XXX,2.0
-OOO-XXX-,0.0
-OOOX-XXX,3.0
-OOOXOXXX,2.0
-OOOXXXOX,1.0
-OOOXXXX-,0.0
-OOOXXXXO,0.0
